time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-11T04:07:16.550Z,37.3678333,-118.6135,12.84,1.22,md,26,157,0.04262,0.07,nc,nc72589140,2016-02-11T18:56:32.460Z,"14km W of West Bishop, California",earthquake,0.34,0.71,0.222,21,reviewed,nc,nc
2016-02-11T03:15:55.180Z,36.078,-89.7888333,9.45,2.13,md,28,58,0.06879,0.09,nm,nm60103212,2016-02-11T13:28:58.245Z,"3km E of Steele, Missouri",earthquake,0.17,0.4,0.159,19,reviewed,nm,nm
2016-02-11T03:14:52.800Z,18.3684,-67.364,23,2,Md,7,147.6,0.11049278,0.43,pr,pr16042002,2016-02-11T08:32:45.115Z,"12km WNW of Rincon, Puerto Rico",earthquake,1.5,3,0,3,reviewed,pr,pr
2016-02-11T03:11:59.060Z,38.8143333,-122.821,3.37,1.83,md,59,32,0.008403,0.06,nc,nc72589115,2016-02-11T08:48:05.967Z,"6km NW of The Geysers, California",earthquake,0.16,0.24,0.249,28,reviewed,nc,nc
2016-02-11T02:54:05.900Z,40.2633333,-121.3128333,11.41,1.07,md,5,350,0.1576,0.06,nc,nc72589105,2016-02-11T18:50:05.617Z,"8km SW of Chester, California",earthquake,5.39,1.66,0.272,7,reviewed,nc,nc
2016-02-11T02:15:55.920Z,37.4681667,-118.8128333,4.09,1.09,md,31,116,0.0751,0.05,nc,nc72589080,2016-02-11T06:16:04.467Z,"24km SE of Mammoth Lakes, California",earthquake,0.27,0.78,0.147,27,reviewed,nc,nc
2016-02-11T01:59:42.850Z,37.3713333,-118.61,12.36,1.09,md,20,149,0.04142,0.06,nc,nc72589070,2016-02-11T19:21:13.077Z,"14km W of West Bishop, California",earthquake,0.37,0.58,0.297,20,reviewed,nc,nc
2016-02-11T01:12:06.180Z,34.7048333,-116.247,3.32,1.44,ml,12,80,0.08177,0.14,ci,ci37522696,2016-02-11T14:04:16.099Z,"8km WSW of Ludlow, California",earthquake,0.32,1.34,0.14,22,reviewed,ci,ci
2016-02-11T00:24:19.250Z,35.664,-97.3829,6.44,2.3,mb_lg,,62,0.088,0.3,us,us20004zeu,2016-02-11T01:34:17.133Z,"8km E of Edmond, Oklahoma",earthquake,0.9,3.3,0.161,10,reviewed,us,us
2016-02-11T00:13:53.860Z,32.8418333,-116.2693333,9.42,1.15,ml,16,110,0.1381,0.21,ci,ci37522680,2016-02-11T14:04:49.159Z,"24km E of Pine Valley, California",earthquake,0.41,1.42,0.248,17,reviewed,ci,ci
2016-02-11T00:12:16.230Z,33.774,-117.454,-0.5,1.18,ml,45,64,0.02341,0.25,ci,ci37522672,2016-02-11T14:42:54.018Z,"13km SSE of Home Gardens, California",quarry blast,0.36,31.61,0.125,27,reviewed,ci,ci
2016-02-11T00:05:43.880Z,-10.1862,119.1527,36.71,4.5,mb,,84,3.411,0.59,us,us20004zen,2016-02-11T08:08:15.162Z,"51km SSW of Bogorawatu, Indonesia",earthquake,6.9,8.5,0.105,27,reviewed,us,us
2016-02-10T23:52:39.080Z,41.1344,72.774,10,4.4,mb,,75,1.976,0.88,us,us20004zel,2016-02-11T16:28:43.714Z,"11km NNE of Bazar-Korgon, Kyrgyzstan",earthquake,4.9,1.9,0.114,22,reviewed,us,us
2016-02-10T23:41:43.000Z,6.8762,-73.0955,154.8,4.3,mb,,80,1.373,1.38,us,us20004zeh,2016-02-11T07:44:17.807Z,"13km SSW of Piedecuesta, Colombia",earthquake,7.5,8.6,0.119,20,reviewed,us,us
2016-02-10T23:08:11.690Z,38.8411674,-122.7645035,0.4,1.08,md,12,126,0.005548,0.04,nc,nc72589035,2016-02-10T23:22:05.868Z,"4km WNW of Cobb, California",earthquake,0.24,0.29,0.19,5,automatic,nc,nc
2016-02-10T22:30:59.690Z,40.8201667,-123.5305,16.6,1.73,md,8,241,0.2822,0.13,nc,nc72589025,2016-02-11T03:21:06.005Z,"15km SSE of Willow Creek, California",earthquake,0.67,0.86,0.221,8,reviewed,nc,nc
2016-02-10T22:24:29.672Z,41.8669,-119.6362,5.8,1.6,ml,4,222.08,0.147,0.1994,nn,nn00530994,2016-02-11T00:45:58.847Z,"68km ESE of Lakeview, Oregon",earthquake,6.04,10.7,0.53,3,reviewed,nn,nn
2016-02-10T22:16:56.140Z,38.8409996,-122.824501,1.24,1.15,md,24,46,0.008911,0.02,nc,nc72589020,2016-02-11T06:19:36.592Z,"9km WNW of Cobb, California",earthquake,0.18,0.36,0.21,7,automatic,nc,nc
